tm,Q1,T1,Tsp1
183.51223993301392,38.66000690999034,40.589,42.0
184.98400497436523,39.07533900465968,40.589,42.0
186.65477800369263,39.024610096474944,40.621,42.0
188.20074105262756,39.10562993450187,40.653,42.0
189.77215600013733,39.18558667907004,40.686,42.0
191.7168231010437,36.909125080574185,40.879,42.0
193.15686511993408,38.22444028439526,40.879,42.0
194.74811911582947,38.581199430275,40.879,42.0
195.74904608726501,38.80560725727085,40.879,42.0
196.7400462627411,38.37854099726776,40.911,42.0
197.74098110198975,38.27334358967168,40.943,42.0
199.11754202842712,34.92005655465715,41.169,42.0
200.5049271583557,36.23288356429683,41.201,42.0
201.80450415611267,36.67120569448472,41.201,42.0
202.8072578907013,36.83144574127198,41.201,42.0
203.79603791236877,36.98945278873444,41.201,42.0
204.7991020679474,36.50430036466774,41.233,42.0
206.52810311317444,35.00784780535208,41.362,42.0
208.17924523353577,33.32637969259595,41.523,42.0
209.7904760837555,34.45517374496458,41.523,42.0
211.66658306121826,34.63415435061452,41.523,42.0
213.22344708442688,34.23043931437204,41.556,42.0
214.77162194252014,29.716914237430693,41.846,42.0
216.08437609672546,31.630520489454316,41.846,42.0
217.46514511108398,31.67304817509656,41.846,42.0
219.26236510276794,30.70929259251946,41.91,42.0
220.57985520362854,29.928623244758423,41.975,42.0
222.22102308273315,27.26085052536752,42.168,42.0
223.83976411819458,28.382452645921727,42.168,42.0
225.19821405410767,28.33680872807505,42.168,42.0
226.67453598976135,28.287204311037087,42.168,42.0
228.54851007461548,28.22423878178599,42.168,42.0
229.9199230670929,28.178159305238747,42.168,42.0
231.40312504768372,28.128323718690897,42.168,42.0
232.89042901992798,26.989004005995582,42.232,42.0
234.1231710910797,27.94958703597505,42.2,42.0
236.04692101478577,26.600162630785718,42.265,42.0
237.40082001686096,27.44896395731812,42.232,42.0
238.782231092453,26.002634290326604,42.297,42.0
240.19092202186584,26.94566829013373,42.265,42.0
241.4912760257721,26.649588272523896,42.265,42.0
242.7955470085144,27.745780126703927,42.2,42.0
244.39804911613464,26.65337361053198,42.232,42.0
245.6618299484253,26.794421904802352,42.232,42.0
246.8770990371704,27.32912730963329,42.2,42.0
248.10226702690125,27.016804421663277,42.2,42.0
249.3548150062561,26.96670250248908,42.2,42.0
250.9772391319275,26.37418629724703,42.232,42.0
252.21045398712158,25.908468362257153,42.265,42.0
253.5217080116272,26.69688693205591,42.232,42.0
254.85699200630188,26.38326227164271,42.232,42.0
256.0963342189789,26.911890068348267,42.2,42.0
257.3808798789978,27.17964316650662,42.168,42.0
258.9238028526306,26.87868563704493,42.168,42.0
260.2626121044159,26.833701646184945,42.168,42.0
261.3220090866089,26.79810590758326,42.168,42.0
262.3440270423889,26.763766104269052,42.168,42.0
